base_score,[513.69958055]
age,Score
"(-inf, 36.0]",-4.1489895082738375
"(36.0, 54.0]",-2.1986464244371215
"(54.0, 61.0]",1.972784640324442
"(61.0, 74.0]",7.934720336058257
"(74.0, inf]",13.578020312250906
RevolvingUtilizationOfUnsecuredLines,Score
"(-inf, 0.099]",47.57442305820736
"(0.099, 0.298]",14.458080558486259
"(0.298, 0.465]",-2.757875688837395
"(0.465, 0.982]",-23.208134075268987
"(0.982, 1.0]",-10.417478077224903
"(1.0, inf]",-43.88822934766036
DebtRatio,Score
"(-inf, 0.0175]",33.30704105096236
"(0.0175, 0.402]",0.8077017933719606
"(0.402, 1.469]",-8.570715928889332
"(1.469, inf]",3.8700497983860758
MonthlyIncome,Score
"(-inf, 0.0963]",18.332551670185204
"(0.0963, 5595.923]",-3.315386273577691
"(5595.923, inf]",3.3588458069043887
NumberOfOpenCreditLinesAndLoans,Score
"(-inf, 1.0]",-7.129587454610575
"(1.0, 3.0]",-2.7472354484773125
"(3.0, 5.0]",-0.4320764215690431
"(5.0, 17.0]",1.0297588214808233
"(17.0, inf]",3.8823681673098354
NumberOfTime30-59DaysPastDueNotWorse,Score
"(-inf, 0.0]",5.46715580594907
"(0.0, 1.0]",-13.563894999619155
"(1.0, 2.0]",-21.460169984360302
"(2.0, inf]",-24.01190636256145
NumberOfTimes90DaysLate,Score
"(-inf, 0.0]",3.8818188255107495
"(0.0, 1.0]",-28.888518415439464
"(1.0, 2.0]",-37.13290563080448
"(2.0, inf]",-39.73942208852901
NumberRealEstateLoansOrLines,Score
"(-inf, 0.0]",-10.660112101229416
"(0.0, 1.0]",5.345219766065696
"(1.0, 2.0]",16.66339638171432
"(2.0, 4.0]",10.274644298321261
"(4.0, inf]",-7.854064206438947
NumberOfTime60-89DaysPastDueNotWorse,Score
"(-inf, 0.0]",1.021526568848178
"(0.0, 1.0]",-11.370433634673322
"(1.0, 2.0]",-14.5103988159303
"(2.0, inf]",-15.05480776163008
NumberOfDependents,Score
"(-inf, 0.0]",14.48663703771394
"(0.0, 1.0]",-13.438697089972264
"(1.0, 2.0]",-12.239680792068455
"(2.0, inf]",-11.06064617608091
